eval,fitness,corp_wr,runner_wr,avg_turns,flatline_rate,w_phase_econ_mult,w_rd_bare_penalty,w_hq_bare_penalty,w_breached_1ice_penalty,w_breached_multi_ice_penalty,w_proven_access_boost,mcts_iterations
1,0.4867,0.556,0.444,13.5,0.444,3.0000,9.0622,10.3932,25.3307,4.4117,0.0000,110.7120
2,0.3422,0.444,0.556,14.8,0.444,3.0000,6.8156,9.6802,11.8566,2.8409,0.5000,87.0219
3,0.3500,0.556,0.444,12.0,0.111,0.5000,6.1861,0.0000,17.1315,0.0000,0.0000,109.9417
4,-0.0989,0.111,0.889,11.9,0.000,0.5000,10.4580,0.0000,11.3075,6.7524,0.0000,102.5484
5,0.2133,0.333,0.667,12.8,0.000,0.5000,8.0215,1.9187,27.5640,5.9084,0.0000,105.5794
6,0.0511,0.333,0.667,11.2,0.111,0.5000,11.4167,0.0000,5.9909,7.3353,0.5000,101.1624
7,0.0889,0.222,0.778,12.7,0.000,0.5156,7.9576,0.0000,10.1173,2.8755,0.5000,102.3308
8,0.2778,0.556,0.444,16.7,0.222,0.5000,12.1982,3.3880,10.4084,10.1490,0.5000,106.3170
9,-0.0844,0.222,0.778,11.1,0.333,0.5000,7.9026,8.2469,21.6171,2.7497,0.0000,92.4956
10,0.1456,0.444,0.556,11.2,0.444,0.5000,9.3369,7.5227,22.4579,4.0960,0.5000,98.4771
11,0.2833,0.333,0.667,13.7,0.333,1.8211,0.0000,0.4494,18.2048,0.0000,0.0000,101.2958
12,0.1489,0.222,0.778,13.4,0.333,0.5000,10.6080,14.7038,12.5804,5.7387,0.0000,103.8973
13,0.0911,0.444,0.556,10.8,0.667,0.5000,2.8965,10.2082,19.8002,0.0000,0.5000,106.1002
14,0.1689,0.222,0.778,13.8,0.667,3.0000,6.3410,5.3032,14.5967,0.0000,0.0000,111.0361
15,0.2600,0.333,0.667,13.4,0.333,3.0000,12.0771,8.4571,21.0222,4.6509,0.0000,106.3835
16,0.1789,0.222,0.778,13.6,0.000,2.6099,8.8281,0.0000,29.9859,6.4435,0.0000,101.2867
17,0.3811,0.444,0.556,14.1,1.000,0.5000,6.6385,0.0000,33.0228,3.8349,0.0000,105.2653
18,0.2122,0.222,0.778,13.9,0.000,0.5000,0.0000,3.3350,23.6690,0.0000,0.0000,116.6673
19,0.2300,0.444,0.556,12.1,0.556,2.8677,4.6806,0.0000,40.0000,0.0000,0.0000,101.3262
20,0.1722,0.333,0.667,12.7,0.556,3.0000,0.0000,1.1144,30.4917,0.0000,0.0000,105.6791
21,-0.2222,0.111,0.889,10.7,0.000,0.5000,0.0000,0.0000,29.8101,1.3114,0.0000,102.9543
22,0.0233,0.222,0.778,15.8,0.444,0.5000,0.4106,5.4152,28.4354,0.3623,0.0000,107.4032
23,0.0056,0.222,0.778,16.0,0.333,3.0000,0.0000,1.6791,35.0611,0.4236,0.0000,106.2394
24,-0.0844,0.333,0.667,10.1,0.556,0.8162,3.1817,0.0000,12.4784,11.2239,0.4172,99.3293
25,0.1589,0.222,0.778,13.5,0.333,0.5000,7.0722,0.9439,24.5490,0.0000,0.0000,98.1316
26,-0.0178,0.111,0.889,12.8,0.111,0.5000,0.0000,2.7186,15.7570,0.0000,0.0000,113.2572
27,0.6233,0.667,0.333,13.9,0.667,0.5000,0.0000,0.0000,32.4831,2.2466,0.0000,106.6146
28,0.0667,0.222,0.778,15.3,0.444,3.0000,0.0000,10.8846,33.6052,2.2962,0.0000,102.8718
29,0.1611,0.444,0.556,11.3,0.333,0.5000,0.6598,6.7053,23.5861,0.0000,0.0000,97.4857
30,0.0600,0.222,0.778,15.6,0.111,3.0000,23.1782,9.2881,6.0285,10.3474,0.0000,96.1624
31,0.2378,0.444,0.556,15.9,0.333,3.0000,0.0000,0.0000,39.0752,0.0000,0.0000,102.3152
32,0.1711,0.333,0.667,15.6,0.111,3.0000,0.0000,0.0000,40.0000,12.4063,0.0000,102.5381
33,-0.0222,0.111,0.889,15.3,0.000,0.5000,0.0000,0.0000,34.5245,0.0000,0.0000,99.1979
34,-0.2156,0.111,0.889,10.9,0.333,0.5000,13.6226,0.0000,40.0000,8.7881,0.0000,114.3453
35,-0.0500,0.333,0.667,10.5,0.667,0.5000,0.0000,0.0000,40.0000,0.0000,0.0000,95.5918
36,0.3122,0.556,0.444,11.9,0.667,1.6844,13.3463,5.3616,38.2450,8.5070,0.0000,108.2229
